cat_gral,name,mes,ano,categoria,tipo,visitantes,ap
PN,Aconquija,7,2006,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,7,2006,Residentes,Menores,,PN Aconquija
PN,Aconquija,8,2006,Extranjeros,Extranjeros,,PN Aconquija
PN,Aconquija,8,2006,Residentes,Nacionales Mayores,,PN Aconquija
PN,Aconquija,8,2006,Residentes,Residentes Provinciales,,PN Aconquija
PN,Aconquija,8,2006,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,8,2006,Residentes,Estudiantes,,PN Aconquija
PN,Aconquija,8,2006,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,8,2006,Residentes,Menores,,PN Aconquija
PN,Aconquija,9,2006,Extranjeros,Extranjeros,,PN Aconquija
PN,Aconquija,9,2006,Residentes,Nacionales Mayores,,PN Aconquija
PN,Aconquija,9,2006,Residentes,Residentes Provinciales,,PN Aconquija
PN,Aconquija,9,2006,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,9,2006,Residentes,Estudiantes,,PN Aconquija
PN,Aconquija,9,2006,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,9,2006,Residentes,Menores,,PN Aconquija
PN,Aconquija,10,2006,Extranjeros,Extranjeros,,PN Aconquija
PN,Aconquija,10,2006,Residentes,Nacionales Mayores,,PN Aconquija
PN,Aconquija,10,2006,Residentes,Residentes Provinciales,,PN Aconquija
PN,Aconquija,10,2006,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,10,2006,Residentes,Estudiantes,,PN Aconquija
PN,Aconquija,10,2006,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,10,2006,Residentes,Menores,,PN Aconquija
PN,Aconquija,11,2006,Extranjeros,Extranjeros,,PN Aconquija
PN,Aconquija,11,2006,Residentes,Nacionales Mayores,,PN Aconquija
PN,Aconquija,11,2006,Residentes,Residentes Provinciales,,PN Aconquija
PN,Aconquija,11,2006,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,11,2006,Residentes,Estudiantes,,PN Aconquija
PN,Aconquija,11,2006,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,11,2006,Residentes,Menores,,PN Aconquija
PN,Aconquija,12,2006,Extranjeros,Extranjeros,,PN Aconquija
PN,Aconquija,12,2006,Residentes,Nacionales Mayores,,PN Aconquija
PN,Aconquija,12,2006,Residentes,Residentes Provinciales,,PN Aconquija
PN,Aconquija,12,2006,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,12,2006,Residentes,Estudiantes,,PN Aconquija
PN,Aconquija,12,2006,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,12,2006,Residentes,Menores,,PN Aconquija
PN,Aconquija,1,2007,Extranjeros,Extranjeros,,PN Aconquija
PN,Aconquija,1,2007,Residentes,Nacionales Mayores,,PN Aconquija
PN,Aconquija,1,2007,Residentes,Residentes Provinciales,,PN Aconquija
PN,Aconquija,1,2007,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,1,2007,Residentes,Estudiantes,,PN Aconquija
PN,Aconquija,1,2007,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,1,2007,Residentes,Menores,,PN Aconquija
PN,Aconquija,2,2007,Extranjeros,Extranjeros,,PN Aconquija
PN,Aconquija,2,2007,Residentes,Nacionales Mayores,,PN Aconquija
PN,Aconquija,2,2007,Residentes,Residentes Provinciales,,PN Aconquija
PN,Aconquija,2,2007,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,2,2007,Residentes,Estudiantes,,PN Aconquija
PN,Aconquija,2,2007,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,2,2007,Residentes,Menores,,PN Aconquija
PN,Aconquija,3,2007,Extranjeros,Extranjeros,,PN Aconquija
PN,Aconquija,3,2007,Residentes,Nacionales Mayores,,PN Aconquija
PN,Aconquija,3,2007,Residentes,Residentes Provinciales,4,PN Aconquija
PN,Aconquija,3,2007,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,3,2007,Residentes,Estudiantes,,PN Aconquija
PN,Aconquija,3,2007,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,3,2007,Residentes,Menores,,PN Aconquija
PN,Aconquija,4,2007,Extranjeros,Extranjeros,,PN Aconquija
PN,Aconquija,4,2007,Residentes,Nacionales Mayores,4,PN Aconquija
PN,Aconquija,4,2007,Residentes,Residentes Provinciales,,PN Aconquija
PN,Aconquija,4,2007,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,4,2007,Residentes,Estudiantes,,PN Aconquija
PN,Aconquija,4,2007,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,4,2007,Residentes,Menores,,PN Aconquija
PN,Aconquija,5,2007,Extranjeros,Extranjeros,,PN Aconquija
PN,Aconquija,5,2007,Residentes,Nacionales Mayores,31,PN Aconquija
PN,Aconquija,5,2007,Residentes,Residentes Provinciales,4,PN Aconquija
PN,Aconquija,5,2007,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,5,2007,Residentes,Estudiantes,,PN Aconquija
PN,Aconquija,5,2007,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,5,2007,Residentes,Menores,,PN Aconquija
PN,Aconquija,6,2007,Extranjeros,Extranjeros,,PN Aconquija
PN,Aconquija,6,2007,Residentes,Nacionales Mayores,,PN Aconquija
PN,Aconquija,6,2007,Residentes,Residentes Provinciales,11,PN Aconquija
PN,Aconquija,6,2007,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,6,2007,Residentes,Estudiantes,,PN Aconquija
PN,Aconquija,6,2007,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,6,2007,Residentes,Menores,,PN Aconquija
